provincia,municipio,poblacion
pobmun98,1776,157
pobmun98,1777,2996
pobmun98,1778,507
pobmun98,1779,445
pobmun98,178,422
pobmun98,1780,94
pobmun98,1781,403
pobmun98,1782,204
pobmun98,1783,149
pobmun98,1784,533
pobmun98,1785,1113
pobmun98,1786,2377
pobmun98,1787,164
pobmun98,1788,1379
pobmun98,1789,211
pobmun98,179,355
pobmun98,1790,753
pobmun98,1792,67
pobmun98,1793,538
pobmun98,1794,455
pobmun98,1795,529
pobmun98,1796,821
pobmun98,1797,356
pobmun98,1799,2748
pobmun98,18,60108
pobmun98,180,857
pobmun98,1800,2355
pobmun98,1801,116
pobmun98,1803,664
pobmun98,1804,465
pobmun98,1805,8594
pobmun98,1806,187
pobmun98,1807,117
pobmun98,1808,172
pobmun98,1809,151
pobmun98,181,122
pobmun98,1810,20577
pobmun98,1811,5166
pobmun98,1812,2650
pobmun98,1813,674
pobmun98,1814,96
pobmun98,1815,534
pobmun98,1816,244
pobmun98,1817,2366
pobmun98,1818,1135
pobmun98,182,955
pobmun98,1820,1354
pobmun98,1821,1563
pobmun98,1822,1411
pobmun98,1823,1136
pobmun98,1825,786
pobmun98,1826,301
pobmun98,1827,305
pobmun98,1828,82
pobmun98,1829,299
pobmun98,183,317
pobmun98,1831,7005
pobmun98,1832,179
pobmun98,1833,251
pobmun98,1834,230
pobmun98,1835,113
pobmun98,1836,155
pobmun98,1837,235
pobmun98,1838,752
pobmun98,1839,483
pobmun98,184,31
pobmun98,1840,52
pobmun98,1841,254
pobmun98,1842,651
pobmun98,1843,235
pobmun98,1844,143
pobmun98,1846,31343
pobmun98,1847,361
pobmun98,1848,1448
pobmun98,1849,114
pobmun98,185,498
pobmun98,1850,1496
pobmun98,1851,2777
pobmun98,1852,40
pobmun98,1853,156
pobmun98,1854,221
pobmun98,1855,117
pobmun98,1856,9352
pobmun98,1857,137
pobmun98,1859,524
pobmun98,186,44
pobmun98,1860,61
pobmun98,1862,17490
pobmun98,1863,53
pobmun98,1864,3139
pobmun98,1867,410
pobmun98,1868,319946
pobmun98,1869,4153
pobmun98,187,113
pobmun98,1870,688
pobmun98,1871,101
pobmun98,1872,328
pobmun98,1873,1643
pobmun98,1874,146
pobmun98,1875,5286
pobmun98,1876,119
pobmun98,1878,1520
pobmun98,1879,85
pobmun98,188,1307
pobmun98,1880,196
pobmun98,1881,2629
pobmun98,1882,33
pobmun98,1884,544
pobmun98,1885,109
pobmun98,1886,189
pobmun98,1887,79
pobmun98,1889,190
pobmun98,189,511
pobmun98,1890,112
pobmun98,1891,85
pobmun98,1892,388
pobmun98,1893,197
pobmun98,1894,466
pobmun98,1895,1087
pobmun98,1897,493
pobmun98,1898,776
pobmun98,1899,2019
pobmun98,19,860
pobmun98,190,6639
pobmun98,1901,46380
pobmun98,1902,58
pobmun98,1903,791
pobmun98,1904,154
pobmun98,1905,113
pobmun98,1906,104
pobmun98,1907,155
pobmun98,1908,656
pobmun98,1909,758
pobmun98,191,90
pobmun98,1910,180
pobmun98,1911,251
pobmun98,1912,1117
pobmun98,1913,422
pobmun98,1914,167
pobmun98,1915,750
pobmun98,1916,699
pobmun98,1918,2085
pobmun98,1919,334
pobmun98,192,1711
pobmun98,1920,3301
pobmun98,1921,300
pobmun98,1923,741
pobmun98,1924,256
pobmun98,1925,158
pobmun98,1926,52
pobmun98,1927,488
pobmun98,1928,244
pobmun98,1929,164
pobmun98,193,10455
pobmun98,1930,289
pobmun98,1931,2848
pobmun98,1932,31
pobmun98,1933,139
pobmun98,1934,726
pobmun98,1935,1404
pobmun98,1936,849
pobmun98,1937,563
pobmun98,1939,8741
pobmun98,194,44
pobmun98,1940,385
pobmun98,1941,97
pobmun98,1942,171
pobmun98,1944,15555
pobmun98,1945,54012
pobmun98,1946,89
pobmun98,1947,304
pobmun98,1948,211
pobmun98,1949,535
pobmun98,195,4113
